File,Line,Message
/Users/nikhil/Programming/GitHub/grpc/src/core/xds/xds_client/lrs_client.cc,338,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/xds/xds_client/lrs_client.h,287,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/xds/xds_client/xds_client.cc,93,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/xds/xds_client/xds_client.cc,102,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/xds/xds_client/xds_client.cc,141,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/xds/xds_client/xds_client.cc,144,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/xds/xds_client/xds_client.cc,314,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/xds/xds_client/xds_client.cc,317,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/xds/xds_client/xds_client.cc,337,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/xds/xds_client/xds_client.cc,342,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/xds/xds_client/xds_client.cc,345,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/xds/xds_client/xds_client.cc,356,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/xds/xds_client/xds_client.h,210,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/xds/xds_client/xds_client.h,214,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/xds/xds_client/xds_client.h,227,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/xds/xds_client/xds_client.h,228,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/xds/xds_client/xds_client.h,236,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/cpp/ext/otel/otel_plugin.h,384,Found ')' without opening '(' for trailing return type ' -> mu_)...'
/Users/nikhil/Programming/GitHub/grpc/src/cpp/ext/otel/otel_plugin.h,392,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/cpp/ext/otel/otel_plugin.h,398,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/cpp/ext/otel/otel_plugin.h,512,Found ')' without opening '(' for trailing return type ' -> mu_)...'
/Users/nikhil/Programming/GitHub/grpc/src/cpp/ext/otel/otel_plugin.h,516,Found ')' without opening '(' for trailing return type ' -> mu_)...'
/Users/nikhil/Programming/GitHub/grpc/src/objective-c/GRPCClient/private/GRPCCore/GRPCReachabilityFlagNames.xmacro.h,55,end of file with unbalanced grouping commands
/Users/nikhil/Programming/GitHub/grpc/src/objective-c/ProtoRPC/ProtoMethod.h,27,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/objective-c/ProtoRPC/ProtoRPCLegacy.h,43,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/objective-c/ProtoRPC/ProtoService.h,38,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/objective-c/ProtoRPC/ProtoService.h,44,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/objective-c/ProtoRPC/ProtoService.h,49,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/cpp/server/backend_metric_recorder.h,40,Internal inconsistency: scope for class grpc::experimental::ServerMetricRecorder::BackendMetricDataState not found!
/Users/nikhil/Programming/GitHub/grpc/src/cpp/server/orca/orca_service.h,38,Internal inconsistency: scope for class grpc::experimental::OrcaService::Reactor not found!
/Users/nikhil/Programming/GitHub/grpc/src/cpp/server/server_context.cc,68,Internal inconsistency: scope for class grpc::ServerContextBase::CompletionOp not found!
/Users/nikhil/Programming/GitHub/grpc/src/php/tests/generated_code/AbstractGeneratedCodeTest.php,26,Compound AbstractGeneratedCodeTest is not documented.
/Users/nikhil/Programming/GitHub/grpc/src/objective-c/examples/InterceptorSample/InterceptorSample/AppDelegate.h,21,Compound AppDelegate is not documented.
/Users/nikhil/Programming/GitHub/grpc/src/objective-c/examples/Sample/Sample/AppDelegate.h,21,Compound AppDelegate is not documented.
/Users/nikhil/Programming/GitHub/grpc/src/objective-c/examples/tvOS-sample/tvOS-sample/AppDelegate.h,21,Compound AppDelegate is not documented.
/Users/nikhil/Programming/GitHub/grpc/src/objective-c/examples/watchOS-sample/watchOS-sample/AppDelegate.h,21,Compound AppDelegate is not documented.
/Users/nikhil/Programming/GitHub/grpc/src/objective-c/manual_tests/AppDelegate.h,21,Compound AppDelegate is not documented.
/Users/nikhil/Programming/GitHub/grpc/src/objective-c/tests/Connectivity/ConnectivityTestingApp/main.m,21,Compound AppDelegate is not documented.
/Users/nikhil/Programming/GitHub/grpc/src/objective-c/tests/Hosts/ios-host/AppDelegate.h,21,Compound AppDelegate is not documented.
/Users/nikhil/Programming/GitHub/grpc/src/compiler/csharp_plugin.cc,27,Compound CSharpGrpcGenerator is not documented.
/Users/nikhil/Programming/GitHub/grpc/src/php/tests/unit_tests/CallCredentials2Test.php,20,Compound CallCredentials2Test is not documented.
/Users/nikhil/Programming/GitHub/grpc/src/php/tests/unit_tests/CallCredentialsTest.php,20,Compound CallCredentialsTest is not documented.
/Users/nikhil/Programming/GitHub/grpc/src/php/tests/unit_tests/CallInvokerTest.php,113,Compound CallInvokerChangeRequest is not documented.
/Users/nikhil/Programming/GitHub/grpc/src/php/tests/unit_tests/CallInvokerTest.php,142,Compound CallInvokerChangeRequestCall is not documented.
/Users/nikhil/Programming/GitHub/grpc/src/php/tests/unit_tests/CallInvokerTest.php,48,Compound CallInvokerClient is not documented.
/Users/nikhil/Programming/GitHub/grpc/src/php/tests/unit_tests/CallInvokerTest.php,162,Compound CallInvokerTest is not documented.
/Users/nikhil/Programming/GitHub/grpc/src/php/tests/unit_tests/CallInvokerTest.php,82,Compound CallInvokerUpdateChannel is not documented.
/Users/nikhil/Programming/GitHub/grpc/src/php/tests/unit_tests/CallTest.php,19,Compound CallTest is not documented.
/Users/nikhil/Programming/GitHub/grpc/src/objective-c/tests/UnitTests/RxLibraryUnitTests.m,31,Compound CapturingSingleValueHandler is not documented.
/Users/nikhil/Programming/GitHub/grpc/src/php/tests/unit_tests/InterceptorTest.php,94,Compound ChangeMetadataInterceptor is not documented.
/Users/nikhil/Programming/GitHub/grpc/src/php/tests/unit_tests/InterceptorTest.php,117,Compound ChangeMetadataInterceptor2 is not documented.
/Users/nikhil/Programming/GitHub/grpc/src/php/tests/unit_tests/InterceptorTest.php,148,Compound ChangeRequestCall is not documented.
/Users/nikhil/Programming/GitHub/grpc/src/php/tests/unit_tests/InterceptorTest.php,173,Compound ChangeRequestInterceptor is not documented.
/Users/nikhil/Programming/GitHub/grpc/src/php/tests/unit_tests/ChannelCredentialsTest.php,20,Compound ChannelCredentialsTest is not documented.
/Users/nikhil/Programming/GitHub/grpc/src/php/tests/unit_tests/ChannelTest.php,20,Compound ChannelTest is not documented.
/Users/nikhil/Programming/GitHub/grpc/src/core/lib/surface/call.h,288,Compound ClientCallTracerWrapper is not documented.
/Users/nikhil/Programming/GitHub/grpc/src/php/tests/interop/xds_client.php,225,Compound ClientThread is not documented.
/Users/nikhil/Programming/GitHub/grpc/src/compiler/cpp_plugin.h,31,Compound CppGrpcGenerator is not documented.
/Users/nikhil/Programming/GitHub/grpc/src/objective-c/tests/InteropTests/InteropTests.m,81,Compound DefaultInterceptorFactory is not documented.
/Users/nikhil/Programming/GitHub/grpc/src/objective-c/tests/PerfTests/PerfTests.m,62,Compound DefaultInterceptorFactory is not documented.
/Users/nikhil/Programming/GitHub/grpc/src/php/tests/unit_tests/EndToEndTest.php,19,Compound EndToEndTest is not documented.
/Users/nikhil/Programming/GitHub/grpc/src/core/lib/surface/completion_queue.cc,933,Compound ExecCtxNext is not documented.
/Users/nikhil/Programming/GitHub/grpc/src/core/lib/surface/completion_queue.cc,1181,Compound ExecCtxPluck is not documented.
